time,frequency,confidence
0.000,129.417,0.241267
0.010,389.340,0.395398
0.020,391.336,0.683344
0.030,391.969,0.741024
0.040,391.787,0.845023
0.050,391.365,0.905463
0.060,391.589,0.927275
0.070,391.713,0.933610
0.080,391.689,0.934489
0.090,391.701,0.941243
0.100,391.577,0.938145
0.110,391.595,0.940592
0.120,391.700,0.942022
0.130,391.526,0.940163
0.140,391.694,0.944355
0.150,391.618,0.943780
0.160,391.682,0.946262
0.170,391.710,0.947499
0.180,391.672,0.944714
0.190,391.725,0.946376
0.200,391.729,0.945337
0.210,391.782,0.949205
0.220,391.639,0.944002
0.230,391.641,0.945902
0.240,391.642,0.945026
0.250,391.581,0.945502
0.260,391.708,0.946902
0.270,391.670,0.948222
0.280,391.669,0.948838
0.290,391.714,0.950387
0.300,391.597,0.946572
0.310,391.711,0.949305
0.320,391.712,0.948933
0.330,391.800,0.949946
0.340,391.778,0.950589
0.350,391.691,0.947441
0.360,391.774,0.951046
0.370,391.646,0.946882
0.380,391.748,0.950864
0.390,391.254,0.931795
0.400,390.644,0.888654
0.410,389.447,0.847622
0.420,390.406,0.809878
0.430,391.709,0.771715
0.440,392.174,0.799448
0.450,391.840,0.880448
0.460,391.274,0.899113
0.470,391.337,0.923403
0.480,391.487,0.928392
0.490,391.634,0.937713
0.500,391.523,0.940379
0.510,391.618,0.938601
0.520,391.554,0.939010
0.530,391.509,0.942217
0.540,391.493,0.938800
0.550,391.493,0.941760
0.560,391.530,0.938710
0.570,391.539,0.941721
0.580,391.435,0.938621
0.590,391.591,0.939396
0.600,391.462,0.943148
0.610,391.604,0.942753
0.620,391.561,0.946212
0.630,391.421,0.942040
0.640,391.601,0.946698
0.650,391.434,0.943706
0.660,391.573,0.943758
0.670,391.486,0.942096
0.680,391.504,0.943562
0.690,391.576,0.945933
0.700,391.384,0.944169
0.710,391.609,0.947319
0.720,391.507,0.947150
0.730,391.562,0.948177
0.740,391.676,0.952354
0.750,391.476,0.947669
0.760,391.662,0.950213
0.770,391.568,0.948938
0.780,391.575,0.947906
0.790,391.566,0.946729
0.800,391.423,0.943916
0.810,391.590,0.948120
0.820,391.399,0.943812
0.830,391.584,0.948806
0.840,391.593,0.949444
0.850,391.508,0.949162
0.860,391.653,0.952435
0.870,391.493,0.948050
0.880,391.611,0.950631
0.890,391.608,0.951478
0.900,391.610,0.951158
0.910,391.652,0.950762
0.920,391.501,0.948698
0.930,391.633,0.950380
0.940,391.518,0.948157
0.950,391.609,0.951670
0.960,391.715,0.954254
0.970,391.522,0.949315
0.980,391.654,0.952347
0.990,391.558,0.950785
1.000,391.554,0.949593
1.010,391.644,0.952973
1.020,391.583,0.950937
1.030,391.631,0.951353
1.040,391.500,0.948505
1.050,391.628,0.951692
1.060,391.603,0.950707
1.070,391.577,0.952049
1.080,391.719,0.954619
1.090,391.563,0.950832
1.100,391.720,0.954959
1.110,391.638,0.953750
1.120,391.615,0.952213
1.130,391.740,0.955500
1.140,391.657,0.952687
1.150,391.709,0.954195
1.160,391.541,0.950164
1.170,391.627,0.952935
1.180,391.680,0.953952
1.190,391.556,0.952276
1.200,391.764,0.956678
1.210,391.147,0.870930
1.220,389.081,0.728701
1.230,388.366,0.742437
1.240,389.633,0.812153
1.250,391.689,0.797586
1.260,391.955,0.799387
1.270,391.633,0.880035
1.280,391.452,0.915414
1.290,391.490,0.929538
1.300,391.754,0.939736
1.310,391.706,0.942638
1.320,391.687,0.942975
1.330,391.707,0.946013
1.340,391.602,0.947049
1.350,391.714,0.949109
1.360,391.614,0.944380
1.370,391.703,0.946826
1.380,391.749,0.947651
1.390,391.614,0.944421
1.400,391.709,0.944394
1.410,391.606,0.943676
1.420,391.704,0.946997
1.430,391.799,0.949874
1.440,391.760,0.950419
