time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,577.386,0.132951
0.320,76.249,0.207895
0.330,160.702,0.050580
0.340,130.820,0.586255
0.350,130.978,0.741652
0.360,131.616,0.850864
0.370,132.752,0.927414
0.380,133.903,0.929231
0.390,135.640,0.900943
0.400,137.764,0.877983
0.410,138.807,0.921606
0.420,139.192,0.903019
0.430,139.644,0.875610
0.440,139.388,0.920099
0.450,138.447,0.925268
0.460,137.251,0.909134
0.470,135.669,0.911024
0.480,134.464,0.930368
0.490,133.522,0.921072
0.500,133.098,0.933836
0.510,132.897,0.942017
0.520,132.889,0.942869
0.530,132.967,0.946221
0.540,133.055,0.947074
0.550,133.310,0.939826
0.560,133.749,0.949067
0.570,134.090,0.948191
0.580,134.659,0.937738
0.590,135.181,0.927792
0.600,135.288,0.919906
0.610,135.274,0.915530
0.620,134.955,0.908888
0.630,134.338,0.926318
0.640,133.985,0.936390
0.650,134.087,0.932065
0.660,134.469,0.906758
0.670,136.032,0.818715
0.680,138.060,0.764770
0.690,140.428,0.808689
0.700,141.124,0.820154
0.710,140.687,0.868878
0.720,140.027,0.856509
0.730,138.946,0.918894
0.740,137.753,0.908220
0.750,135.754,0.775949
0.760,133.306,0.819808
0.770,133.208,0.832671
0.780,135.164,0.839884
0.790,137.175,0.738797
0.800,150.768,0.551718
0.810,158.532,0.557092
0.820,164.720,0.814982
0.830,168.821,0.855814
0.840,173.658,0.860209
0.850,176.897,0.888107
0.860,179.211,0.919845
0.870,180.582,0.927998
0.880,181.014,0.943540
0.890,181.189,0.945568
0.900,180.729,0.935139
0.910,179.618,0.928888
0.920,177.889,0.933894
0.930,176.827,0.927365
0.940,176.106,0.910362
0.950,175.379,0.928030
0.960,175.139,0.946629
0.970,174.860,0.937818
0.980,174.378,0.918884
0.990,174.601,0.920556
1.000,175.829,0.924321
1.010,177.452,0.937741
1.020,178.546,0.921440
1.030,179.285,0.951308
1.040,180.032,0.953262
1.050,180.725,0.942139
1.060,181.351,0.955531
1.070,182.066,0.940740
1.080,182.338,0.914132
1.090,181.992,0.927152
1.100,181.509,0.928008
1.110,180.819,0.914907
1.120,180.389,0.919192
1.130,179.908,0.952486
1.140,179.651,0.954092
1.150,179.582,0.955776
1.160,179.560,0.951598
1.170,179.462,0.952467
1.180,179.680,0.956785
1.190,179.952,0.944286
1.200,180.095,0.947001
1.210,180.279,0.943476
1.220,180.460,0.936186
1.230,180.789,0.949207
1.240,181.156,0.951497
1.250,181.222,0.947968
1.260,181.184,0.948491
1.270,181.014,0.948449
1.280,181.142,0.954507
1.290,181.152,0.949408
1.300,181.193,0.953035
1.310,180.940,0.951252
1.320,180.782,0.948062
1.330,180.919,0.951185
1.340,180.745,0.944560
1.350,180.693,0.936931
1.360,180.418,0.936438
1.370,180.358,0.942538
1.380,180.465,0.939292
1.390,180.757,0.947352
1.400,181.127,0.955156
1.410,181.395,0.956964
1.420,181.523,0.957398
1.430,181.790,0.950420
1.440,182.473,0.923067
1.450,183.221,0.928471
1.460,183.680,0.933305
1.470,184.052,0.920776
1.480,183.873,0.929168
1.490,182.922,0.930833
1.500,180.793,0.926721
1.510,178.621,0.899596
1.520,176.664,0.916902
1.530,175.493,0.911826
1.540,174.758,0.851032
1.550,174.012,0.729728
1.560,172.928,0.745996
1.570,171.299,0.827944
1.580,170.151,0.832061
1.590,168.831,0.812095
1.600,170.092,0.812608
1.610,171.762,0.840571
1.620,173.184,0.917136
1.630,173.765,0.906884
1.640,174.157,0.910001
1.650,174.137,0.901537
1.660,173.901,0.921266
1.670,173.696,0.938695
1.680,173.369,0.947437
1.690,173.101,0.942074
1.700,173.043,0.939527
1.710,173.236,0.940438
1.720,173.536,0.931890
1.730,173.755,0.929422
1.740,173.966,0.922278
1.750,174.337,0.926612
1.760,174.164,0.927555
1.770,173.805,0.933990
1.780,173.216,0.913095
1.790,172.131,0.804894
1.800,169.889,0.674225
