time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,551.118,0.194814
0.330,280.321,0.373654
0.340,281.167,0.609313
0.350,278.192,0.745459
0.360,277.128,0.874363
0.370,275.716,0.941916
0.380,274.232,0.961111
0.390,272.519,0.964832
0.400,271.062,0.959151
0.410,269.246,0.966045
0.420,264.528,0.805732
0.430,258.502,0.763887
0.440,259.447,0.738894
0.450,271.472,0.659439
0.460,275.377,0.764950
0.470,280.084,0.818878
0.480,280.402,0.904209
0.490,279.085,0.941668
0.500,277.953,0.967149
0.510,277.018,0.957577
0.520,275.909,0.950099
0.530,275.097,0.969538
0.540,274.612,0.966367
0.550,274.632,0.966930
0.560,274.332,0.960389
0.570,273.772,0.955833
0.580,273.388,0.949642
0.590,273.343,0.954223
0.600,273.421,0.948101
0.610,273.492,0.948402
0.620,273.425,0.943618
0.630,272.921,0.957305
0.640,272.096,0.966836
0.650,271.155,0.952600
0.660,269.592,0.960871
0.670,266.938,0.927261
0.680,263.557,0.932531
0.690,261.579,0.939458
0.700,259.222,0.933122
0.710,255.912,0.921509
0.720,251.461,0.892036
0.730,246.668,0.855154
0.740,242.719,0.926602
0.750,239.730,0.946007
0.760,238.285,0.938524
0.770,237.767,0.949593
0.780,237.982,0.939394
0.790,238.467,0.953530
0.800,239.045,0.966266
0.810,239.401,0.972072
0.820,239.630,0.974284
0.830,240.169,0.965420
0.840,240.627,0.957792
0.850,241.032,0.973261
0.860,241.087,0.974503
0.870,240.548,0.951401
0.880,239.366,0.963382
0.890,237.904,0.930072
0.900,235.496,0.890812
0.910,231.828,0.709748
0.920,226.295,0.524305
0.930,215.758,0.621893
0.940,209.965,0.786181
0.950,206.991,0.860675
0.960,205.383,0.893486
0.970,203.418,0.885368
0.980,201.224,0.853783
0.990,199.368,0.890323
1.000,197.858,0.875986
1.010,197.102,0.909264
1.020,196.670,0.911352
1.030,196.812,0.911629
1.040,197.872,0.864205
1.050,199.853,0.852444
1.060,201.583,0.870784
1.070,202.490,0.872619
1.080,202.339,0.877497
1.090,201.589,0.898238
1.100,200.659,0.876911
1.110,199.861,0.879147
1.120,199.064,0.904395
1.130,198.115,0.875638
1.140,197.302,0.899630
1.150,196.750,0.920593
1.160,196.015,0.895091
1.170,194.673,0.886263
1.180,193.358,0.753344
1.190,191.615,0.525347
1.200,188.456,0.418493
1.210,185.315,0.343913
1.220,186.198,0.253534
1.230,188.059,0.451136
1.240,195.751,0.445766
1.250,196.723,0.600738
1.260,196.246,0.305033
1.270,280.366,0.148204
1.280,192.394,0.255544
1.290,95.582,0.204623
1.300,196.576,0.532445
1.310,197.173,0.655688
1.320,198.526,0.566287
1.330,197.035,0.446736
1.340,395.648,0.332269
1.350,393.985,0.035055
1.360,220.821,0.284021
1.370,214.678,0.599814
1.380,208.309,0.580915
1.390,204.961,0.820854
1.400,204.404,0.914881
1.410,203.641,0.938979
1.420,203.364,0.927155
1.430,202.503,0.875690
1.440,201.889,0.898559
1.450,201.723,0.899317
1.460,202.249,0.886848
1.470,202.942,0.906311
1.480,203.415,0.930626
1.490,203.747,0.931615
1.500,204.110,0.933088
1.510,204.503,0.923060
1.520,204.606,0.920944
1.530,204.124,0.926612
1.540,203.578,0.908323
1.550,203.760,0.863915
1.560,206.026,0.721127
1.570,213.825,0.422448
1.580,226.974,0.605473
1.590,236.285,0.741721
1.600,241.476,0.819291
1.610,246.613,0.794798
1.620,252.369,0.879429
1.630,257.318,0.931723
1.640,262.332,0.877578
1.650,268.374,0.903309
1.660,272.062,0.956474
1.670,274.849,0.959742
1.680,275.874,0.948283
1.690,276.265,0.935247
1.700,276.338,0.930609
1.710,276.666,0.936865
1.720,276.837,0.940582
1.730,276.910,0.943214
1.740,277.154,0.944620
1.750,277.691,0.952176
1.760,278.180,0.956212
1.770,277.820,0.951722
1.780,276.404,0.900166
1.790,274.270,0.889554
1.800,273.750,0.859664
