time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,551.559,0.298106
0.330,289.552,0.192564
0.340,294.535,0.585375
0.350,295.979,0.745743
0.360,296.333,0.874830
0.370,296.496,0.918414
0.380,297.228,0.954465
0.390,298.147,0.968538
0.400,298.879,0.965682
0.410,299.426,0.957109
0.420,299.984,0.937520
0.430,300.807,0.958615
0.440,301.956,0.967371
0.450,303.257,0.950557
0.460,304.340,0.975721
0.470,305.132,0.979307
0.480,305.502,0.977484
0.490,305.119,0.977273
0.500,304.484,0.976575
0.510,304.269,0.976511
0.520,303.955,0.970935
0.530,302.873,0.957002
0.540,300.734,0.947658
0.550,297.615,0.945545
0.560,293.710,0.936650
0.570,290.313,0.845340
0.580,284.773,0.640428
0.590,281.967,0.674946
0.600,288.327,0.624477
0.610,291.355,0.891093
0.620,291.983,0.934615
0.630,290.708,0.945935
0.640,288.921,0.942107
0.650,287.472,0.962623
0.660,286.625,0.954882
0.670,286.150,0.952531
0.680,285.652,0.969949
0.690,285.446,0.974745
0.700,285.489,0.972943
0.710,285.927,0.961764
0.720,286.556,0.955076
0.730,286.623,0.957402
0.740,286.646,0.958891
0.750,286.248,0.945808
0.760,285.594,0.965567
0.770,284.881,0.976875
0.780,284.585,0.980970
0.790,284.415,0.980079
0.800,283.935,0.977040
0.810,283.425,0.967478
0.820,283.370,0.964003
0.830,283.403,0.967212
0.840,283.634,0.972442
0.850,283.834,0.978481
0.860,283.696,0.974534
0.870,283.503,0.973014
0.880,283.447,0.968839
0.890,283.381,0.965635
0.900,283.367,0.966066
0.910,283.660,0.973023
0.920,284.506,0.976627
0.930,285.070,0.978748
0.940,285.195,0.978472
0.950,284.822,0.976895
0.960,284.216,0.977567
0.970,283.438,0.965926
0.980,282.382,0.943868
0.990,280.484,0.946468
1.000,277.382,0.934805
1.010,273.556,0.912702
1.020,268.400,0.856627
1.030,260.668,0.537731
1.040,248.008,0.751453
1.050,248.562,0.790873
1.060,252.679,0.827959
1.070,255.598,0.926149
1.080,255.618,0.944028
1.090,254.278,0.948420
1.100,252.585,0.933534
1.110,250.815,0.952503
1.120,249.408,0.928430
1.130,248.451,0.925441
1.140,247.761,0.938475
1.150,247.256,0.944823
1.160,247.017,0.937003
1.170,246.744,0.929088
1.180,246.262,0.919434
1.190,245.949,0.940996
1.200,245.646,0.949689
1.210,245.760,0.943336
1.220,246.179,0.929513
1.230,246.715,0.934033
1.240,246.898,0.943612
1.250,247.094,0.950131
1.260,247.198,0.953646
1.270,247.458,0.951720
1.280,247.832,0.947827
1.290,248.223,0.943563
1.300,248.244,0.943323
1.310,248.210,0.936420
1.320,248.376,0.934175
1.330,248.524,0.929237
1.340,248.754,0.923611
1.350,249.314,0.931212
1.360,249.984,0.954442
1.370,250.251,0.956247
1.380,250.032,0.953362
1.390,249.818,0.947783
1.400,249.511,0.938652
1.410,248.858,0.901535
1.420,247.976,0.936477
1.430,246.734,0.919808
1.440,244.875,0.943677
1.450,241.690,0.919205
1.460,237.564,0.824145
1.470,232.695,0.585091
1.480,222.328,0.564861
1.490,220.437,0.838336
1.500,223.814,0.854576
1.510,227.074,0.823666
1.520,226.532,0.882305
1.530,225.368,0.922762
1.540,224.670,0.918270
1.550,223.881,0.951917
1.560,223.203,0.961880
1.570,222.202,0.938673
1.580,220.844,0.955155
1.590,219.879,0.937678
1.600,218.922,0.931959
1.610,218.117,0.944248
1.620,217.557,0.938883
1.630,217.145,0.918228
1.640,216.799,0.912500
1.650,216.409,0.934342
1.660,216.245,0.942048
1.670,216.249,0.939385
1.680,216.009,0.947753
1.690,215.808,0.944147
1.700,215.814,0.942558
1.710,216.184,0.943756
1.720,216.704,0.921313
1.730,217.330,0.932433
1.740,217.590,0.941813
1.750,217.961,0.946175
1.760,218.299,0.943135
1.770,218.751,0.938620
1.780,219.216,0.921654
1.790,219.404,0.909310
1.800,219.413,0.911139
