time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,550.439,0.176404
0.330,280.525,0.256601
0.340,250.062,0.443175
0.350,247.135,0.712164
0.360,246.092,0.839465
0.370,245.481,0.931987
0.380,245.176,0.944632
0.390,244.738,0.942486
0.400,244.527,0.948628
0.410,245.194,0.938355
0.420,245.190,0.935408
0.430,245.141,0.912255
0.440,245.888,0.882607
0.450,246.402,0.871389
0.460,247.310,0.901613
0.470,248.064,0.903241
0.480,248.516,0.892394
0.490,249.346,0.890929
0.500,250.870,0.913097
0.510,251.715,0.908286
0.520,253.856,0.926912
0.530,257.672,0.894012
0.540,263.717,0.692099
0.550,270.213,0.830642
0.560,275.168,0.903420
0.570,278.545,0.917757
0.580,281.816,0.914839
0.590,286.357,0.854697
0.600,291.809,0.821068
0.610,295.626,0.863857
0.620,297.475,0.924391
0.630,298.183,0.932689
0.640,298.494,0.918050
0.650,297.977,0.911201
0.660,297.154,0.917281
0.670,297.591,0.919696
0.680,298.359,0.923117
0.690,298.838,0.924294
0.700,299.333,0.913024
0.710,299.659,0.907859
0.720,299.804,0.897666
0.730,300.317,0.892748
0.740,299.880,0.888397
0.750,299.382,0.908672
0.760,299.085,0.917710
0.770,297.526,0.906959
0.780,295.979,0.898541
0.790,295.338,0.921652
0.800,294.766,0.938071
0.810,295.462,0.916287
0.820,296.998,0.896001
0.830,297.962,0.924610
0.840,298.415,0.931606
0.850,298.670,0.924346
0.860,299.221,0.923248
0.870,300.898,0.909343
0.880,301.589,0.921972
0.890,302.043,0.930809
0.900,302.674,0.938319
0.910,303.172,0.925300
0.920,303.251,0.933601
0.930,303.777,0.934226
0.940,303.572,0.932771
0.950,302.988,0.928530
0.960,301.894,0.937948
0.970,298.578,0.861922
0.980,297.675,0.823596
0.990,301.699,0.755880
1.000,307.666,0.673937
1.010,310.756,0.872706
1.020,310.294,0.914985
1.030,309.319,0.936582
1.040,308.764,0.948485
1.050,309.161,0.950525
1.060,308.994,0.946909
1.070,309.060,0.952134
1.080,309.175,0.948720
1.090,308.557,0.951066
1.100,307.724,0.953612
1.110,306.621,0.933263
1.120,305.105,0.965247
1.130,304.542,0.948557
1.140,304.294,0.952042
1.150,303.356,0.929491
1.160,303.207,0.924369
1.170,303.607,0.920172
1.180,303.723,0.927771
1.190,303.805,0.926245
1.200,304.402,0.937104
1.210,305.102,0.932875
1.220,304.706,0.939744
1.230,304.750,0.944780
1.240,304.202,0.929244
1.250,303.933,0.939853
1.260,303.948,0.941472
1.270,303.606,0.938153
1.280,303.597,0.925874
1.290,303.275,0.919677
1.300,303.089,0.927779
1.310,303.126,0.929357
1.320,303.539,0.923132
1.330,304.511,0.930146
1.340,304.911,0.916689
1.350,306.264,0.907576
1.360,308.225,0.885966
1.370,310.460,0.860398
1.380,312.458,0.896463
1.390,315.154,0.894675
1.400,319.188,0.872248
1.410,324.225,0.859310
1.420,329.953,0.888046
1.430,330.880,0.937669
1.440,330.169,0.952652
1.450,329.226,0.948287
1.460,330.315,0.962539
1.470,331.588,0.947903
1.480,332.010,0.936533
1.490,332.451,0.927454
1.500,331.961,0.935427
1.510,332.057,0.926507
1.520,332.817,0.902326
1.530,333.176,0.897792
1.540,333.121,0.916363
1.550,333.920,0.924967
1.560,334.026,0.918708
1.570,334.051,0.929256
1.580,333.775,0.944028
1.590,332.937,0.922417
1.600,332.231,0.922312
1.610,331.450,0.949066
1.620,330.764,0.954867
1.630,330.336,0.951627
1.640,329.655,0.943575
1.650,329.604,0.942880
1.660,330.146,0.956181
1.670,330.464,0.962986
1.680,330.205,0.960430
1.690,330.127,0.957366
1.700,330.498,0.954869
1.710,331.194,0.952901
1.720,330.857,0.960338
1.730,330.312,0.949955
1.740,328.841,0.901369
1.750,331.230,0.828685
1.760,338.226,0.741561
1.770,342.515,0.895169
1.780,341.955,0.935497
1.790,340.710,0.917434
1.800,338.725,0.915676
