time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,0.000,nan
0.330,348.962,0.116564
0.340,221.364,0.175283
0.350,296.450,0.365106
0.360,291.577,0.170409
0.370,363.991,0.273688
0.380,357.073,0.475404
0.390,359.713,0.370111
0.400,319.760,0.179212
0.410,157.830,0.379501
0.420,155.828,0.522441
0.430,155.376,0.681970
0.440,155.783,0.689022
0.450,317.187,0.554021
0.460,316.295,0.756193
0.470,318.355,0.774704
0.480,320.769,0.589945
0.490,334.084,0.365832
0.500,332.458,0.254508
0.510,331.054,0.555494
0.520,329.311,0.784821
0.530,331.583,0.839223
0.540,332.408,0.792635
0.550,330.443,0.791177
0.560,330.066,0.222933
0.570,345.180,0.281183
0.580,318.307,0.167553
0.590,318.348,0.222107
0.600,317.530,0.341327
0.610,317.860,0.463044
0.620,278.411,0.423680
0.630,280.943,0.506078
0.640,283.522,0.203625
0.650,262.384,0.107289
0.660,52.176,0.489189
0.670,52.323,0.230916
0.680,349.064,0.112375
0.690,35.598,0.289235
0.700,318.840,0.380973
0.710,322.450,0.197846
0.720,325.436,0.277974
0.730,161.336,0.355442
0.740,162.480,0.367586
0.750,33.247,0.506615
0.760,33.531,0.554066
0.770,34.101,0.633106
0.780,34.137,0.505034
0.790,34.173,0.775366
0.800,34.335,0.895050
0.810,34.231,0.609023
0.820,55.903,0.117848
0.830,55.763,0.110386
0.840,55.987,0.082196
0.850,54.656,0.105775
0.860,54.391,0.115941
0.870,32.728,0.123779
0.880,32.957,0.123140
0.890,36.087,0.253977
0.900,314.215,0.114893
0.910,319.624,0.409155
0.920,328.228,0.290926
0.930,55.303,0.187653
0.940,55.163,0.199582
0.950,54.470,0.516675
0.960,45.630,0.193971
0.970,361.247,0.195635
0.980,397.784,0.497147
0.990,292.383,0.317195
1.000,278.126,0.479645
1.010,258.541,0.406549
1.020,250.509,0.615973
1.030,247.783,0.770559
1.040,244.734,0.912465
1.050,241.709,0.967625
1.060,241.080,0.967927
1.070,241.646,0.974528
1.080,242.834,0.962288
1.090,244.931,0.947103
1.100,247.152,0.940379
1.110,248.770,0.918503
1.120,249.571,0.933330
1.130,249.348,0.923465
1.140,247.681,0.929712
1.150,245.334,0.933106
1.160,242.767,0.946797
1.170,240.577,0.930876
1.180,238.900,0.955642
1.190,238.000,0.936506
1.200,237.632,0.950270
1.210,237.287,0.955275
1.220,236.873,0.957583
1.230,236.596,0.960223
1.240,236.297,0.954433
1.250,236.225,0.949641
1.260,235.975,0.948532
1.270,235.620,0.932847
1.280,235.206,0.939192
1.290,234.890,0.952108
1.300,235.062,0.948301
1.310,235.140,0.945298
1.320,235.418,0.934929
1.330,235.622,0.940811
1.340,235.962,0.951375
1.350,236.364,0.960810
1.360,236.898,0.960384
1.370,237.316,0.959098
1.380,237.509,0.951601
1.390,237.510,0.952840
1.400,236.696,0.954869
1.410,235.699,0.932805
1.420,234.688,0.947248
1.430,234.242,0.957389
1.440,234.026,0.953860
1.450,233.713,0.941557
1.460,234.129,0.911226
1.470,236.242,0.829896
1.480,240.702,0.881958
1.490,241.817,0.955151
1.500,241.496,0.963947
1.510,241.139,0.965481
1.520,240.798,0.956948
1.530,239.843,0.958122
1.540,238.762,0.951544
1.550,237.693,0.941693
1.560,236.903,0.958353
1.570,236.832,0.961640
1.580,236.908,0.955080
1.590,236.991,0.956733
1.600,237.210,0.960185
1.610,237.396,0.954362
1.620,237.312,0.953695
1.630,237.260,0.957460
1.640,237.123,0.958796
1.650,237.006,0.960813
1.660,236.839,0.958523
1.670,236.794,0.960157
1.680,236.927,0.963442
1.690,236.825,0.957537
1.700,236.624,0.957129
1.710,236.463,0.957341
1.720,236.380,0.955232
1.730,236.498,0.952597
1.740,236.989,0.958292
1.750,237.190,0.954028
1.760,237.304,0.955291
1.770,237.491,0.951045
1.780,237.654,0.949476
1.790,237.638,0.951533
1.800,237.557,0.954364
