time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,0.000,nan
0.330,32.640,0.078767
0.340,219.617,0.382486
0.350,110.268,0.092589
0.360,335.521,0.098103
0.370,325.415,0.258518
0.380,322.727,0.479123
0.390,319.739,0.609678
0.400,318.360,0.585115
0.410,317.655,0.772783
0.420,317.104,0.499895
0.430,321.305,0.772063
0.440,324.548,0.796694
0.450,325.753,0.452111
0.460,39.903,0.146643
0.470,39.493,0.166337
0.480,39.997,0.050389
0.490,159.692,0.027254
0.500,32.965,0.247932
0.510,33.003,0.777286
0.520,33.574,0.558694
0.530,34.201,0.367283
0.540,33.344,0.680815
0.550,33.655,0.146956
0.560,165.034,0.156213
0.570,165.115,0.095085
0.580,278.937,0.073353
0.590,33.375,0.759311
0.600,34.034,0.572410
0.610,34.857,0.379807
0.620,35.107,0.493820
0.630,321.709,0.026473
0.640,322.746,0.051062
0.650,320.323,0.042429
0.660,61.189,0.132860
0.670,61.062,0.189422
0.680,353.905,0.116542
0.690,350.441,0.141746
0.700,347.240,0.300193
0.710,348.237,0.228903
0.720,69.393,0.288328
0.730,68.710,0.286426
0.740,65.198,0.301036
0.750,35.058,0.347848
0.760,49.445,0.173835
0.770,34.386,0.363769
0.780,34.402,0.440093
0.790,34.569,0.199234
0.800,61.919,0.099683
0.810,32.521,0.190641
0.820,32.684,0.205204
0.830,33.997,0.250407
0.840,34.371,0.372045
0.850,34.474,0.433169
0.860,54.884,0.118752
0.870,52.296,0.106813
0.880,38.589,0.117895
0.890,51.927,0.182690
0.900,39.206,0.120088
0.910,40.125,0.058007
0.920,33.014,0.079829
0.930,33.096,0.178710
0.940,34.323,0.224666
0.950,51.941,0.258470
0.960,52.275,0.342879
0.970,50.337,0.135856
0.980,242.864,0.568058
0.990,224.380,0.369258
1.000,200.868,0.268394
1.010,185.042,0.384496
1.020,181.334,0.519349
1.030,176.675,0.694292
1.040,173.925,0.915758
1.050,172.668,0.945819
1.060,172.670,0.947614
1.070,172.936,0.957166
1.080,173.005,0.953966
1.090,172.767,0.952163
1.100,171.616,0.939451
1.110,170.767,0.935085
1.120,169.480,0.932786
1.130,168.293,0.905029
1.140,166.850,0.947877
1.150,166.462,0.941666
1.160,166.749,0.950903
1.170,167.283,0.952444
1.180,167.689,0.948230
1.190,167.829,0.939612
1.200,167.327,0.947551
1.210,166.672,0.944037
1.220,166.113,0.941802
1.230,166.167,0.948936
1.240,166.714,0.952883
1.250,167.226,0.955008
1.260,167.100,0.953057
1.270,166.448,0.937899
1.280,166.247,0.922641
1.290,166.923,0.952411
1.300,168.325,0.913627
1.310,169.705,0.921978
1.320,170.010,0.904301
1.330,168.772,0.862931
1.340,166.285,0.877749
1.350,165.482,0.903485
1.360,166.193,0.768181
1.370,165.671,0.485510
1.380,180.659,0.650486
1.390,182.111,0.680193
1.400,169.803,0.490464
1.410,168.059,0.873613
1.420,166.987,0.943259
1.430,166.020,0.946223
1.440,165.597,0.963235
1.450,165.567,0.961740
1.460,165.566,0.960924
1.470,165.684,0.958519
1.480,165.999,0.943111
1.490,166.318,0.929135
1.500,166.149,0.926861
1.510,165.886,0.931555
1.520,165.949,0.931329
1.530,166.194,0.935073
1.540,166.035,0.942861
1.550,165.824,0.949497
1.560,165.928,0.948052
1.570,166.264,0.939601
1.580,167.006,0.951450
1.590,167.403,0.951277
1.600,167.475,0.947048
1.610,167.970,0.923458
1.620,168.773,0.916191
1.630,169.103,0.933153
1.640,169.671,0.924506
1.650,169.797,0.919402
1.660,169.571,0.934991
1.670,169.717,0.938315
1.680,169.626,0.931556
1.690,169.107,0.898274
1.700,169.098,0.764636
1.710,169.231,0.443899
1.720,184.874,0.234093
1.730,187.255,0.385110
1.740,192.020,0.505230
1.750,192.822,0.732235
1.760,193.553,0.765150
1.770,193.086,0.844828
1.780,192.710,0.918017
1.790,192.862,0.933422
1.800,193.997,0.921124
