time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,552.303,0.179953
0.330,49.340,0.016350
0.340,580.064,0.286532
0.350,551.311,0.109854
0.360,450.678,0.299652
0.370,176.357,0.116663
0.380,275.251,0.294944
0.390,260.784,0.302102
0.400,260.882,0.320714
0.410,260.982,0.484010
0.420,259.958,0.554456
0.430,257.976,0.465505
0.440,242.125,0.260232
0.450,120.960,0.054485
0.460,283.802,0.071660
0.470,121.761,0.016573
0.480,121.183,0.104183
0.490,225.756,0.072515
0.500,33.672,0.162320
0.510,98.813,0.186556
0.520,201.759,0.183119
0.530,204.501,0.073731
0.540,113.005,0.108724
0.550,215.558,0.143634
0.560,216.131,0.195911
0.570,242.370,0.167915
0.580,160.800,0.046890
0.590,168.148,0.228436
0.600,162.259,0.256502
0.610,261.152,0.403059
0.620,32.643,0.130041
0.630,163.054,0.212059
0.640,282.808,0.155598
0.650,279.162,0.138009
0.660,95.412,0.065178
0.670,97.463,0.124333
0.680,97.806,0.313273
0.690,95.868,0.163965
0.700,242.822,0.154111
0.710,275.874,0.470601
0.720,249.715,0.486780
0.730,244.432,0.654110
0.740,243.085,0.805948
0.750,242.892,0.865409
0.760,242.395,0.936635
0.770,240.627,0.878223
0.780,237.412,0.850489
0.790,235.622,0.901476
0.800,235.802,0.937621
0.810,237.637,0.928355
0.820,240.863,0.948125
0.830,243.565,0.943835
0.840,245.826,0.951079
0.850,246.966,0.940675
0.860,247.351,0.950977
0.870,247.124,0.938553
0.880,246.353,0.921784
0.890,245.661,0.955138
0.900,244.813,0.966017
0.910,243.650,0.939947
0.920,241.756,0.979278
0.930,240.229,0.952573
0.940,239.131,0.965877
0.950,237.810,0.946478
0.960,237.105,0.958188
0.970,236.659,0.962697
0.980,236.448,0.958700
0.990,236.796,0.962783
1.000,237.311,0.957196
1.010,237.608,0.945341
1.020,237.275,0.946058
1.030,236.992,0.929578
1.040,239.035,0.898047
1.050,242.657,0.923485
1.060,246.145,0.898032
1.070,249.213,0.880787
1.080,251.689,0.892831
1.090,255.072,0.804223
1.100,264.058,0.698685
1.110,270.796,0.944068
1.120,272.636,0.968631
1.130,272.979,0.962542
1.140,273.613,0.954765
1.150,273.777,0.956650
1.160,273.895,0.956003
1.170,274.775,0.956946
1.180,275.676,0.950170
1.190,275.827,0.938326
1.200,275.783,0.939576
1.210,275.461,0.948243
1.220,274.877,0.961196
1.230,274.230,0.954217
1.240,275.169,0.930677
1.250,279.493,0.816926
1.260,284.916,0.866368
1.270,287.884,0.888008
1.280,290.203,0.624226
1.290,305.542,0.499072
1.300,312.354,0.866346
1.310,313.239,0.921915
1.320,313.363,0.948906
1.330,313.135,0.959160
1.340,312.423,0.968101
1.350,310.473,0.941719
1.360,308.374,0.961109
1.370,305.683,0.972614
1.380,303.990,0.968043
1.390,302.975,0.954434
1.400,302.739,0.962703
1.410,302.648,0.965605
1.420,303.044,0.950475
1.430,303.984,0.936672
1.440,306.442,0.890053
1.450,308.763,0.933884
1.460,310.332,0.904562
1.470,312.233,0.906049
1.480,312.680,0.925128
1.490,312.248,0.912326
1.500,308.067,0.723674
1.510,300.555,0.677623
1.520,300.822,0.723744
1.530,302.442,0.839311
1.540,304.798,0.894299
1.550,305.720,0.889375
1.560,306.910,0.825505
1.570,306.643,0.702033
1.580,304.239,0.634304
1.590,303.052,0.199527
1.600,276.622,0.302224
1.610,281.017,0.509524
1.620,277.332,0.748668
1.630,276.452,0.859702
1.640,276.190,0.929352
1.650,276.391,0.943436
1.660,277.081,0.944231
1.670,277.509,0.929843
1.680,276.946,0.820198
1.690,275.247,0.512560
1.700,272.714,0.476152
1.710,276.432,0.706003
1.720,276.305,0.888221
1.730,276.177,0.923120
1.740,276.160,0.921782
1.750,276.632,0.924312
1.760,276.774,0.909444
1.770,276.528,0.864594
1.780,275.909,0.868824
1.790,274.091,0.894480
1.800,273.671,0.858515
