time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,554.257,0.215654
0.320,359.089,0.287383
0.330,291.121,0.179237
0.340,338.393,0.470618
0.350,331.543,0.750993
0.360,330.590,0.905408
0.370,330.153,0.952710
0.380,330.204,0.969352
0.390,330.273,0.976899
0.400,330.255,0.977380
0.410,329.946,0.969053
0.420,329.770,0.963464
0.430,329.943,0.969907
0.440,330.302,0.972077
0.450,330.430,0.975819
0.460,330.041,0.973654
0.470,329.815,0.972400
0.480,329.976,0.971672
0.490,329.907,0.969034
0.500,329.696,0.961374
0.510,329.669,0.960561
0.520,329.736,0.964019
0.530,329.791,0.969893
0.540,329.998,0.974785
0.550,330.236,0.976014
0.560,329.892,0.969805
0.570,329.870,0.968535
0.580,330.068,0.967451
0.590,330.258,0.969721
0.600,330.419,0.967799
0.610,329.970,0.960999
0.620,329.702,0.958671
0.630,329.984,0.965763
0.640,330.220,0.957726
0.650,330.766,0.946006
0.660,330.283,0.946401
0.670,329.711,0.938399
0.680,329.560,0.923531
0.690,330.143,0.789304
0.700,296.650,0.273111
0.710,296.651,0.752707
0.720,295.638,0.848192
0.730,295.153,0.884528
0.740,294.865,0.929127
0.750,294.832,0.950319
0.760,295.031,0.945435
0.770,295.355,0.951879
0.780,294.968,0.954583
0.790,294.869,0.952182
0.800,295.010,0.953223
0.810,294.861,0.952516
0.820,295.035,0.957443
0.830,294.971,0.954702
0.840,294.706,0.964279
0.850,294.572,0.963744
0.860,294.455,0.960474
0.870,294.496,0.950823
0.880,294.807,0.959686
0.890,294.749,0.952990
0.900,294.743,0.954380
0.910,294.575,0.962481
0.920,294.492,0.942784
0.930,294.387,0.934931
0.940,294.530,0.931290
0.950,294.670,0.932908
0.960,294.225,0.901921
0.970,293.124,0.827636
0.980,293.668,0.734182
0.990,264.564,0.462411
1.000,264.401,0.584012
1.010,263.809,0.852986
1.020,263.559,0.909741
1.030,263.125,0.952103
1.040,262.148,0.958905
1.050,262.455,0.958708
1.060,262.719,0.961311
1.070,262.531,0.958680
1.080,262.498,0.959969
1.090,262.714,0.961254
1.100,262.477,0.961978
1.110,262.345,0.966711
1.120,262.452,0.967968
1.130,262.311,0.966616
1.140,262.237,0.969558
1.150,262.408,0.967808
1.160,262.223,0.971442
1.170,261.928,0.968179
1.180,262.153,0.967469
1.190,262.173,0.966597
1.200,262.155,0.967062
1.210,262.280,0.965103
1.220,262.132,0.966246
1.230,262.124,0.962127
1.240,262.261,0.966575
1.250,262.500,0.967616
1.260,262.244,0.969792
1.270,262.343,0.970507
1.280,262.160,0.967060
1.290,262.205,0.964875
1.300,261.788,0.963175
1.310,261.927,0.962744
1.320,261.923,0.962474
1.330,261.813,0.957614
1.340,261.801,0.952586
1.350,261.613,0.952284
1.360,261.451,0.945217
1.370,261.474,0.941655
1.380,261.658,0.933692
1.390,261.445,0.939108
1.400,261.783,0.900820
1.410,261.126,0.832823
1.420,260.333,0.717321
1.430,260.526,0.552063
1.440,263.113,0.532145
1.450,262.371,0.761349
1.460,261.765,0.846656
1.470,261.723,0.897379
1.480,261.986,0.901230
1.490,262.237,0.909236
1.500,262.392,0.936727
1.510,262.307,0.946195
1.520,262.310,0.954216
1.530,262.109,0.963526
1.540,262.103,0.964338
1.550,262.069,0.966440
1.560,262.118,0.966668
1.570,262.342,0.967122
1.580,262.256,0.970177
1.590,262.279,0.967441
1.600,262.081,0.969275
1.610,262.145,0.969293
1.620,262.077,0.969543
1.630,262.026,0.970055
1.640,262.125,0.971110
1.650,262.054,0.970821
1.660,261.930,0.970243
1.670,261.906,0.959889
1.680,261.929,0.955689
1.690,262.203,0.955835
1.700,262.386,0.952645
1.710,262.288,0.917737
1.720,264.008,0.691881
1.730,293.575,0.505626
1.740,294.877,0.792638
1.750,294.283,0.892549
1.760,294.438,0.902692
1.770,295.184,0.917609
1.780,295.778,0.903791
1.790,296.029,0.894367
1.800,296.232,0.883842
