time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,551.050,0.237457
0.330,49.237,0.014929
0.340,76.301,0.143140
0.350,278.093,0.123102
0.360,278.095,0.513459
0.370,268.409,0.606404
0.380,265.494,0.639319
0.390,264.744,0.740594
0.400,261.779,0.817528
0.410,261.493,0.856706
0.420,262.999,0.834414
0.430,268.255,0.737609
0.440,274.498,0.828298
0.450,278.078,0.866539
0.460,279.514,0.896127
0.470,279.243,0.933812
0.480,277.774,0.967451
0.490,277.085,0.967844
0.500,277.753,0.969246
0.510,278.436,0.966407
0.520,278.944,0.958297
0.530,279.576,0.938224
0.540,280.535,0.955770
0.550,281.900,0.958622
0.560,283.038,0.957996
0.570,282.787,0.956010
0.580,282.758,0.953714
0.590,282.452,0.949301
0.600,281.778,0.961662
0.610,280.817,0.961453
0.620,279.197,0.943616
0.630,277.199,0.963266
0.640,275.700,0.957244
0.650,274.096,0.960924
0.660,272.449,0.969562
0.670,271.463,0.970680
0.680,271.188,0.970687
0.690,271.445,0.971806
0.700,271.666,0.972071
0.710,271.903,0.975570
0.720,272.155,0.972469
0.730,272.968,0.970398
0.740,273.595,0.955661
0.750,274.230,0.968136
0.760,274.706,0.971027
0.770,274.420,0.971150
0.780,273.350,0.936849
0.790,269.898,0.743710
0.800,258.801,0.707344
0.810,265.691,0.535798
0.820,271.100,0.853241
0.830,272.226,0.927871
0.840,273.262,0.953786
0.850,272.575,0.974791
0.860,271.907,0.978406
0.870,272.036,0.977246
0.880,272.727,0.968066
0.890,273.238,0.962719
0.900,273.246,0.958674
0.910,273.451,0.954701
0.920,273.472,0.952356
0.930,273.460,0.952562
0.940,273.205,0.962965
0.950,272.859,0.970407
0.960,272.435,0.976778
0.970,271.830,0.974214
0.980,271.510,0.971971
0.990,271.236,0.969181
1.000,271.934,0.974009
1.010,272.857,0.968310
1.020,273.527,0.951357
1.030,273.891,0.962373
1.040,273.857,0.959195
1.050,274.028,0.964378
1.060,274.417,0.967948
1.070,275.198,0.970338
1.080,275.927,0.954990
1.090,276.556,0.941957
1.100,277.039,0.956725
1.110,277.538,0.962032
1.120,277.318,0.964676
1.130,276.813,0.957239
1.140,276.364,0.947789
1.150,275.268,0.962250
1.160,273.138,0.927061
1.170,268.974,0.868567
1.180,264.803,0.794620
1.190,269.400,0.724773
1.200,274.507,0.898378
1.210,277.495,0.920768
1.220,277.703,0.959374
1.230,276.700,0.954826
1.240,275.358,0.971449
1.250,274.691,0.973641
1.260,274.647,0.973460
1.270,274.906,0.969986
1.280,275.434,0.966303
1.290,275.848,0.959004
1.300,276.252,0.944245
1.310,276.511,0.941521
1.320,276.710,0.945338
1.330,277.023,0.957868
1.340,277.001,0.957210
1.350,276.530,0.949012
1.360,275.953,0.953283
1.370,275.299,0.969149
1.380,274.708,0.970292
1.390,273.206,0.949799
1.400,270.882,0.913627
1.410,261.305,0.637761
1.420,255.356,0.822863
1.430,256.933,0.878325
1.440,259.974,0.858139
1.450,262.998,0.890835
1.460,263.984,0.919220
1.470,263.300,0.957552
1.480,261.872,0.963709
1.490,260.556,0.954701
1.500,259.349,0.966068
1.510,258.600,0.956699
1.520,258.698,0.961171
1.530,259.001,0.967467
1.540,259.677,0.969665
1.550,260.553,0.954864
1.560,261.289,0.952591
1.570,261.485,0.956196
1.580,261.384,0.951126
1.590,261.082,0.943394
1.600,261.266,0.948952
1.610,261.683,0.959576
1.620,261.769,0.964496
1.630,261.734,0.964608
1.640,261.102,0.947664
1.650,260.418,0.958628
1.660,259.867,0.967341
1.670,260.021,0.966474
1.680,260.069,0.962911
1.690,259.979,0.963523
1.700,259.960,0.962657
1.710,259.683,0.963444
1.720,259.548,0.965037
1.730,259.624,0.962918
1.740,259.657,0.965285
1.750,259.851,0.968543
1.760,259.841,0.968610
1.770,259.294,0.961584
1.780,257.434,0.881903
1.790,253.255,0.737554
1.800,246.802,0.740661
