time,frequency,confidence
0.000,0.000,nan
0.010,0.000,nan
0.020,0.000,nan
0.030,0.000,nan
0.040,0.000,nan
0.050,0.000,nan
0.060,0.000,nan
0.070,0.000,nan
0.080,0.000,nan
0.090,0.000,nan
0.100,0.000,nan
0.110,0.000,nan
0.120,0.000,nan
0.130,0.000,nan
0.140,0.000,nan
0.150,0.000,nan
0.160,0.000,nan
0.170,0.000,nan
0.180,0.000,nan
0.190,0.000,nan
0.200,0.000,nan
0.210,0.000,nan
0.220,0.000,nan
0.230,0.000,nan
0.240,0.000,nan
0.250,0.000,nan
0.260,0.000,nan
0.270,0.000,nan
0.280,0.000,nan
0.290,0.000,nan
0.300,0.000,nan
0.310,0.000,nan
0.320,551.537,0.301408
0.330,273.178,0.026513
0.340,271.453,0.173258
0.350,181.479,0.047990
0.360,36.065,0.040311
0.370,254.220,0.174735
0.380,157.287,0.232413
0.390,156.624,0.329365
0.400,160.066,0.149617
0.410,165.792,0.292664
0.420,315.207,0.494334
0.430,311.247,0.625632
0.440,313.048,0.635441
0.450,316.503,0.422753
0.460,328.766,0.328635
0.470,318.733,0.200689
0.480,149.068,0.204869
0.490,150.754,0.260817
0.500,293.932,0.456350
0.510,298.544,0.611452
0.520,317.696,0.377570
0.530,325.166,0.451232
0.540,322.927,0.597351
0.550,322.359,0.575801
0.560,178.092,0.347859
0.570,177.926,0.327009
0.580,35.410,0.192622
0.590,256.558,0.159379
0.600,161.802,0.093654
0.610,275.405,0.111570
0.620,274.327,0.055607
0.630,104.589,0.032860
0.640,105.609,0.135939
0.650,181.979,0.218594
0.660,324.755,0.225053
0.670,36.175,0.146412
0.680,34.485,0.065456
0.690,34.234,0.120227
0.700,34.065,0.091992
0.710,124.233,0.083943
0.720,34.503,0.294076
0.730,34.435,0.218654
0.740,34.449,0.597584
0.750,104.254,0.101184
0.760,104.610,0.035316
0.770,103.930,0.051801
0.780,99.896,0.151130
0.790,297.797,0.109382
0.800,234.114,0.088727
0.810,110.835,0.369633
0.820,110.559,0.388777
0.830,106.979,0.188907
0.840,103.506,0.458177
0.850,101.680,0.827046
0.860,99.308,0.835752
0.870,97.731,0.894042
0.880,97.176,0.920289
0.890,97.233,0.921740
0.900,97.399,0.922760
0.910,97.542,0.926231
0.920,97.627,0.930357
0.930,97.778,0.944537
0.940,98.146,0.958329
0.950,98.713,0.930775
0.960,99.399,0.920963
0.970,99.999,0.924431
0.980,100.635,0.949057
0.990,101.168,0.922260
1.000,101.141,0.924529
1.010,100.794,0.941264
1.020,100.552,0.944223
1.030,100.465,0.946739
1.040,100.665,0.949688
1.050,101.132,0.931493
1.060,101.656,0.944545
1.070,102.037,0.936479
1.080,102.196,0.926018
1.090,102.128,0.939132
1.100,102.206,0.937589
1.110,102.562,0.939160
1.120,102.946,0.941618
1.130,103.070,0.934542
1.140,102.959,0.936126
1.150,102.832,0.935539
1.160,102.612,0.928454
1.170,102.125,0.927009
1.180,101.611,0.939126
1.190,101.250,0.925622
1.200,100.903,0.939774
1.210,100.658,0.944165
1.220,100.580,0.940085
1.230,100.740,0.937443
1.240,100.942,0.931062
1.250,100.870,0.936289
1.260,100.764,0.937280
1.270,100.719,0.940237
1.280,100.888,0.935591
1.290,101.271,0.925327
1.300,101.872,0.936510
1.310,102.579,0.928113
1.320,103.002,0.933929
1.330,102.732,0.925491
1.340,101.921,0.899586
1.350,100.475,0.849599
1.360,99.709,0.818622
1.370,100.620,0.401009
1.380,108.995,0.776804
1.390,109.278,0.908244
1.400,109.038,0.934862
1.410,107.999,0.909437
1.420,106.738,0.872159
1.430,105.589,0.840616
1.440,104.694,0.868644
1.450,104.238,0.906105
1.460,104.046,0.921328
1.470,103.818,0.922580
1.480,103.808,0.924815
1.490,103.764,0.925103
1.500,103.602,0.916514
1.510,103.455,0.911989
1.520,103.257,0.926663
1.530,103.217,0.931505
1.540,103.374,0.914316
1.550,103.359,0.914790
1.560,103.306,0.923973
1.570,103.255,0.928979
1.580,102.951,0.940162
1.590,102.897,0.943781
1.600,103.058,0.939600
1.610,103.223,0.930876
1.620,103.327,0.932586
1.630,103.224,0.935879
1.640,103.183,0.936345
1.650,102.987,0.942213
1.660,102.899,0.940444
1.670,102.802,0.935353
1.680,102.722,0.935873
1.690,102.860,0.940574
1.700,103.099,0.939564
1.710,103.529,0.915983
1.720,103.600,0.921000
1.730,103.563,0.914540
1.740,103.664,0.919760
1.750,103.817,0.925666
1.760,103.960,0.931994
1.770,104.288,0.910645
1.780,105.026,0.855654
1.790,106.119,0.877857
1.800,107.349,0.884324
